"ResponseId","spsrq_matrix_1","spsrq_matrix_2","spsrq_matrix_3","spsrq_matrix_4","spsrq_matrix_5","spsrq_matrix_6","spsrq_matrix_7","spsrq_matrix_8","spsrq_matrix_9","spsrq_matrix_10","spsrq_matrix_11","spsrq_matrix_12","spsrq_matrix_13","spsrq_matrix_14","spsrq_matrix_15","spsrq_matrix_16","spsrq_matrix_17","spsrq_matrix_18","spsrq_matrix_19","spsrq_matrix_20","spsrq_sr","spsrq_sp"
"R_6oMjaAPnBnKkvpL",4,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,15,13
"R_7KiUtrBbZioGZ7X",4,3,2,3,2,2,2,2,4,3,2,4,2,2,1,2,2,4,3,2,27,24
"R_6huzMhFw2Poayvj",3,2,3,2,4,1,4,1,4,3,4,2,2,1,1,1,2,1,4,1,15,31
"R_7VPdEPFK8NVC5lR",1,1,1,2,4,1,2,3,1,1,3,3,1,1,1,1,1,1,1,1,15,16
"R_7j96P5KGC0KLL0s",2,1,1,2,4,1,1,1,2,3,1,3,1,1,2,2,1,2,2,2,18,17
"R_5EnIuaVKtrA7PJK",2,1,1,4,3,2,1,1,1,3,1,4,1,3,1,2,1,2,1,2,24,13
"R_7fa81plYMJGXUzf",2,1,2,1,3,1,4,4,4,3,2,1,2,1,1,1,1,4,2,1,18,23
"R_5MsZxvWgd71QNoJ",4,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,10,23
"R_3ruVXKXkCjALiuy",2,1,2,1,4,1,1,1,2,2,1,3,2,1,1,1,1,1,1,1,13,17
"R_3tEZf9k4YY8YABi",4,1,4,3,2,1,3,2,3,4,3,3,2,2,2,3,2,2,2,1,22,27
"R_323UDLYL1w6aEOr",5,1,4,3,5,1,3,1,5,3,3,1,5,3,3,1,3,1,4,1,16,40
"R_7QVTSE8Pzkp36lH",2,1,3,2,3,1,1,1,2,3,3,1,3,1,1,1,1,1,1,1,13,20
"R_7XtEGFXxOJgoM93",4,3,2,2,1,4,2,2,4,3,2,4,2,2,2,2,2,4,3,1,27,24
"R_1SwA1RGEhCLJZrF",5,1,3,1,5,1,5,1,3,3,5,4,5,2,1,3,3,1,5,1,18,40
"R_7ebuDuMKUIL9zyi",1,2,1,1,3,3,1,1,1,3,1,3,1,1,1,1,1,1,1,1,17,12
"R_5wWzfbWu0jq8Fc5",1,1,2,2,4,1,4,3,5,4,4,3,4,3,4,4,4,3,4,3,27,36
"R_50Ptqz8nPx7YHQD",2,3,1,4,1,1,3,1,2,3,1,3,1,3,1,1,1,1,4,1,21,17
"R_3uODD2pdNI8jXXP",3,2,3,3,4,3,2,3,4,3,4,3,3,2,1,2,3,4,3,1,26,30
"R_7uDQOrG28WLjm4m",2,3,2,3,2,1,3,2,3,4,2,3,2,3,2,3,2,3,3,3,28,23
"R_5R4LrQ8jXinBsMV",1,1,2,5,5,1,4,1,1,3,4,4,1,3,1,4,4,1,4,1,24,27
"R_5gFuI6Zdce2HOMq",3,3,4,3,1,3,3,2,3,4,3,4,5,3,5,5,1,2,3,4,33,31
"R_6NFhU0bXejXyu3v",4,3,5,3,4,4,5,4,4,3,4,2,3,3,4,2,4,4,4,2,30,41
"R_5dv8MJ9XT2tsOk6",4,3,2,5,4,2,4,2,4,3,5,3,2,3,4,3,1,3,2,4,31,32
"R_7MDxBq8mtH5I2a8",2,4,4,4,5,4,5,3,2,4,4,4,5,4,4,3,1,4,4,2,36,36
"R_1OXquApJXnrC9Hz",1,3,3,4,3,2,4,4,4,3,5,5,4,3,3,4,4,3,3,4,35,34
"R_59BGTvIulbj5Ok9",1,3,3,2,4,2,4,2,4,3,3,2,4,3,1,2,1,1,3,2,22,28
"R_3HSylAQObjq7nOk",5,2,3,3,4,2,4,3,4,3,5,3,4,2,4,2,4,5,5,2,27,42
"R_5ikEQ9CFFY4yKnv",5,1,5,4,4,1,4,4,4,4,4,3,3,4,4,4,3,2,2,3,30,38
"R_5cpAUcYiSFu8pFr",1,3,2,3,2,1,2,1,3,5,4,2,2,3,1,1,3,4,2,2,25,22
"R_5FncB44tYK8cz8R",1,5,5,5,5,5,2,5,5,5,1,5,5,5,5,5,5,5,5,5,50,39
"R_5IQCuxi5CkbT8HN",2,2,2,4,4,5,3,3,4,4,2,3,2,4,4,3,1,3,3,2,33,27
"R_1kFgIarWRGRiNHk",4,2,3,2,2,2,2,1,4,3,4,4,2,3,2,4,4,2,3,2,25,30
"R_1jNjo5BcokYvGAN",5,3,4,1,3,2,5,5,3,4,2,5,1,4,2,5,4,4,5,2,35,34
"R_7EmnTpRv4SVEkHD",3,3,3,2,4,1,1,3,3,3,3,3,3,1,3,3,3,3,3,1,23,29
"R_6lJ7CPijxHhmHlf",2,5,3,2,4,3,2,4,3,5,4,2,5,4,1,4,3,5,2,4,38,29
"R_6g7n6d7zHUwIoMX",1,1,2,2,3,3,2,2,2,2,2,2,3,3,3,3,2,3,2,4,25,22
"R_5RMLoJsyr6kr6gN",3,3,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,29,28
"R_3o8c5VkhDvyoBfB",4,1,4,3,5,3,4,1,4,3,5,2,5,1,4,1,3,1,4,1,17,42
"R_1Gg0qg71vPhfaav",3,2,5,4,3,1,3,2,5,3,4,3,2,2,5,1,1,1,2,1,20,33
"R_1YAfOl1rXVFwEkk",2,2,2,2,2,1,4,3,4,5,5,3,4,5,4,3,2,5,4,3,32,33
"R_5foOmJLH4T2YLv5",5,1,2,4,5,2,5,2,4,4,5,4,3,4,4,2,5,4,4,2,29,42
"R_1P6qnB3I6C4Vb09",3,4,2,3,4,3,4,3,4,4,4,5,2,2,2,1,2,5,2,4,34,29
"R_66jPZqvTxJhlvLH",3,1,1,3,2,2,2,5,1,4,1,2,3,2,4,5,4,4,4,5,33,25
"R_516BC81lOL3M6Qh",3,2,3,4,4,3,2,2,3,3,3,4,2,2,3,2,1,4,3,2,28,27
"R_7gZSKxivcLjxOJr",2,4,2,3,1,4,4,2,3,5,2,1,2,3,2,4,3,2,3,1,29,24
"R_59zetEikIlYTIad",4,1,4,3,5,3,4,3,4,3,5,4,4,3,5,3,4,4,5,3,30,44
"R_6eqJTSW3zwu7ANE",2,1,2,5,4,1,2,3,4,5,4,5,2,4,2,2,3,4,3,4,34,28
"R_5hxswS2xy8GQ8qP",1,3,2,2,3,3,3,3,5,2,2,2,2,3,2,2,1,4,3,2,26,24
"R_6gSi5HhPt3oAxfR",1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,20,10
"R_3cwq0wtPh8hsz81",4,4,5,4,5,5,3,4,4,3,4,5,5,5,4,5,5,5,5,3,43,44
"R_57aHAd10ZZNuNxf",1,1,1,4,5,1,1,1,1,4,4,4,4,4,4,1,1,5,2,3,28,24
"R_3fnMhk29KXeSNNv",5,4,4,4,5,4,4,5,5,4,4,4,5,4,1,4,5,5,3,4,42,41
"R_1Mp5i366LBfPz2h",4,4,5,5,4,2,4,4,5,4,4,5,4,4,4,4,4,4,5,4,40,43
"R_6VgwOqGHVJ9OhaG",3,4,5,2,4,2,3,3,5,3,1,3,2,4,5,2,3,1,4,2,26,35
"R_6sYM7BVH8NIIYyL",1,1,1,1,1,4,1,1,1,1,2,4,1,1,1,4,1,1,1,1,19,11
"R_68VdwXabFtrchAB",4,3,5,4,3,2,4,2,5,4,5,2,2,4,4,2,4,4,5,1,28,41
"R_5tr3EtXA4JtjBK4",1,1,4,5,2,3,4,2,3,3,2,4,5,4,3,4,3,4,2,3,33,29
"R_7cc70RHrlvPR3zA",4,5,5,5,3,5,5,3,5,2,5,5,5,4,2,3,5,4,1,2,38,40
"R_3hywElMMNFsJMYp",1,1,2,2,2,3,3,2,3,2,2,2,3,2,2,3,2,3,2,2,22,22
"R_5YcZ2KLBmTsu8z7",4,2,2,1,5,2,2,2,4,4,4,2,4,2,4,2,4,4,4,2,23,37
"R_3taQqJWDTVGH5FD",4,1,1,4,2,1,2,1,2,2,1,1,1,2,5,1,1,4,1,1,18,20
"R_5sF3tdUQgMMs3mh",1,2,3,2,3,3,2,3,4,2,2,3,3,3,3,3,2,2,4,3,26,27
"R_1VQqjr1jMDX4D0t",1,4,1,4,1,5,1,3,1,5,1,5,3,3,1,3,1,5,3,5,42,14
