"ResponseId","dospert_ethic","dospert_financial","dospert_hs","dospert_rec","dospert_inv","dospert_gam","dospert_soc"
"R_7YwwfjcrIFBWcTL",16,11,12,11,6,5,13
"R_5eL8vtV1yB7vh1T",7,4,10,13,4,0,12
"R_5rjShz1zc8hZVYE",24,25,24,23,12,13,23
"R_1OkCwKXdfwK5aqB",9,4,7,11,3,1,14
"R_7mDwOBw7s0qaQtq",20,20,22,24,9,11,22
"R_6dcNHppBA1Mp9Fe",13,13,16,16,7,6,13
"R_3wKU79SyjdyBMnk",25,26,25,24,13,13,22
"R_3qjIhgK5y3nUjpC",2,2,6,15,2,0,6
"R_5MbZihlyeCN4Qh1",10,15,15,11,8,7,12
"R_1qCWv1qlEmbuDLo",9,7,12,14,4,3,12
"R_10UxMDsMVIhnoh9",11,7,10,14,6,1,17
"R_6JiaiHsBq0h426B",23,26,23,25,12,14,24
"R_6CmetbM7zLZMhQa",7,5,11,12,4,1,13
"R_3ob7v6i1y9xUXQB",8,4,12,14,4,0,13
"R_3wjg1sZe0EkZHul",9,2,9,14,2,0,14
"R_3dKEPjLL1Nq6CrH",5,5,16,16,3,2,11
"R_18sf7b999Pv0w7f",20,12,18,19,8,4,22
"R_1YaLMRsxkrfQT9n",5,2,6,11,2,0,11
"R_5aFwsuByz1zLHFV",15,4,11,9,4,0,13
"R_7DO9gDBqtctC2Cb",12,12,13,20,11,1,18
"R_114g6pjuBx5AvQq",8,1,3,1,1,0,8
"R_7CNj430G9Gf6zkM",27,24,24,27,13,11,25
"R_3mUl4hnWkQsOtFp",5,11,6,8,9,2,11
"R_3GIAMSJFo6rQT77",1,2,8,4,2,0,6
"R_7EgsnmiFd7mfDip",1,2,3,3,2,0,3
"R_7He94ppuZrxRUXv",3,4,7,17,4,0,16
"R_58aQ9Lqu9T1jSbT",0,0,3,2,0,0,6
"R_3CDuwlSLevvpvPd",3,2,6,7,2,0,13
"R_10SgocvjcYGUOop",16,16,16,17,9,7,17
