"ResponseId","bisbas_matrix_1","bisbas_matrix_2","bisbas_matrix_3","bisbas_matrix_4","bisbas_matrix_5","bisbas_matrix_6","bisbas_matrix_7","bisbas_matrix_8","bisbas_matrix_9","bisbas_matrix_10","bisbas_matrix_11","bisbas_matrix_12","bisbas_matrix_13","bisbas_matrix_14","bisbas_matrix_15","bisbas_matrix_16","bisbas_matrix_17","bisbas_matrix_18","bisbas_matrix_19","bisbas_matrix_20","bisbas_reward_res","bisbas_drive","bisbas_fun_seek","bisbas_bis"
"R_6TZYbwLG4nocXUB",1,1,1,1,3,1,3,1,1,1,1,1,1,3,2,1,1,1,3,1,7,4,7,11
"R_1g1vgz3QFgAhwQQ",1,2,3,3,2,2,2,1,1,1,1,2,1,2,1,2,3,4,3,1,13,4,6,15
"R_11Xp6WTjpIMr4S5",3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,15,12,12,19
"R_1PaFNv9vDENJGNE",1,1,3,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,10,8,8,12
"R_6T1wQD1rmx6N3QR",3,4,4,4,3,4,2,2,3,4,1,2,1,3,4,3,4,3,4,3,17,10,10,24
"R_5qfOcAw70W5DkiD",3,3,3,3,2,4,3,3,3,3,3,3,3,3,1,3,3,3,4,3,16,12,10,21
"R_5uU0dvwVvNPHJte",2,2,3,3,2,3,1,2,2,2,2,1,1,2,1,3,3,3,3,3,15,8,5,16
"R_3sFBnxQPk46qH9D",3,3,3,3,2,2,2,3,2,3,2,3,3,3,2,2,3,2,3,3,13,10,11,18
"R_6CHWDVch8w52adB",1,1,1,2,2,2,1,3,3,3,2,1,1,1,1,2,3,3,3,3,14,11,4,10
"R_1xUhPp3zey4FFG9",1,2,2,2,2,3,1,3,2,3,2,2,1,2,1,2,2,2,3,2,11,10,6,13
"R_5rYdDWufu9FV5mQ",2,2,3,2,2,3,1,2,2,2,2,3,2,3,2,3,3,3,3,2,14,8,10,15
"R_7hDBH7TkCn3yCFe",2,2,2,2,0,2,0,3,4,3,2,4,4,4,4,2,4,4,4,4,18,12,16,10
"R_7qDzfEBhnDwkUJ8",2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,16,8,12,14
"R_1eb1NSTKnLSHOX0",4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,16,12,12,22
"R_3VDu1BK5ATfisr8",2,2,3,3,1,3,0,4,4,4,3,2,1,2,2,3,4,3,4,3,17,15,7,14
