ID,ResponseId,demo_zip_p,GEO_ID,NAME,TravTmCas,TravMiCas,TenMiCas,ADINat,ADIState,SVI_SES,Gini,poverty,unemployed,bachelors,tenure,homeowner,white_p,black_p,native_p,pacific_p,hispanic_p,other_p,white_n,black_n,native_n,pacific_n,hispanic_n,other_n,TenMiMHT,TravTmGDT,TravMiGDT,TenMiRel,TenMiRelC,ec_zip,clust_zip,s_ratio,volun_rate,civic_org,TotalCrime,ViolCrime
39,R_6fl1Cje1nzzEqTt,07076,860Z200US07076,ZCTA5 07076,49.49479799,34.02804049,0,6,1,0.0868,0.4272,2.826193191,4.384603446,65.03312839,94.50348532,81.06502114,67.51530385,6.255320874,0,0,12.45793976,2.087809624,16654,1543,0,0,3073,515,29,14.68120107,5.975562333,213,99,1.12993,0.096110001,0.93554997,0.081820004,0.01715,34,12
222,R_15F4qBHBI8cfkAB,23661,860Z200US23661,ZCTA5 23661,16.21870293,12.26316428,1,68,8,0.7166,0.4481,11.0974106,5.141010576,26.25675946,88.99949384,69.95107137,32.45173609,59.45831271,0.190934163,0.04950145,3.988402518,0.990028994,4589,8408,27,7,564,140,13,9.068704177,5.1240853,279,171,0.72385001,0.088289998,0.84865999,0.041000001,0.01718,149,109
500,R_6g6nUxrNBYlWHG3,46077,860Z200US46077,ZCTA5 46077,24.64557975,11.92888397,0,11,1,0.0619,0.4676,3.615004824,3.429978118,72.69776701,89.88552611,84.14615023,84.25857878,3.796144497,0,0.059358924,3.813104189,0.847984623,29809,1343,0,21,1349,300,8,16.65536489,7.176948692,147,79,1.20926,0.090039998,0.90640002,0.13737001,0.01722,24,18
257,R_3P0LE32B3q7IXZe,28025,860Z200US28025,ZCTA5 28025,-999,-999,0,45,3,0.6911,0.4537,10.87779508,6.221101303,33.05907009,89.27598287,70.75710393,62.76125891,21.03460268,0.248652408,0.027821248,13.18379412,7.275256477,36094,12097,143,16,7582,4184,6,-999,-999,149,107,0.77124,0.088880002,0.93077999,0.060989998,0.01723,72,48
17,R_3pYXkdFXzjwfiyT,02324,860Z200US02324,ZCTA5 02324,28.26310922,21.94792812,0,34,8,0.2561,0.4123,4.89004512,5.453636948,39.64306458,92.33483002,75.0801796,82.94520022,6.175543771,0.541849205,0,3.773729921,1.840750135,21584,1607,141,0,982,479,16,19.84476835,8.084175726,18,13,1.2343301,0.10054,0.92079002,0.070639998,0.01726,27,34
234,R_1uw8Em9r995XY3H,26101,860Z200US26101,ZCTA5 26101,0.360381519,0.183451049,5,95,9,0.9140,0.4793,23.07910506,8.55913293,16.0815402,90.1779126,66.39337542,94.57491862,1.207518113,0.115501733,0.29400441,1.627524413,0.063000945,27021,345,33,84,465,18,6,20.22977297,17.04231542,105,78,0.70546001,0.10211,0.98782003,0.077679999,0.017410001,165,131
248,R_7n1rRn9eyOS2Apu,27320,860Z200US27320,ZCTA5 27320,48.68125621,45.52930186,0,97,10,0.8787,0.4366,18.09116051,7.100386769,17.39303267,92.51998002,74.77522478,66.60968661,22.69360269,0.196840197,0.181300181,6.853146853,2.52007252,25718,8762,76,70,2646,973,4,11.62769803,6.23656499,147,116,0.53087997,0.11158,0.99250001,0.040139999,0.017419999,112,105
249,R_7VaK6xQgUyVsAvf,27502,860Z200US27502,ZCTA5 27502,30.65781545,28.09814282,0,24,2,0.0773,0.3778,2.835558753,2.295184004,65.97640723,90.35291317,81.37237398,69.52314698,7.218146555,0.170756388,0.073783624,7.570199848,1.94156337,32979,3424,81,35,3591,921,3,18.22928499,8.026961931,81,56,1.1416,0.084009998,0.84078002,0.076990001,0.017419999,42,16
9,R_6hGzBQPOAyIbY6Q,01830,860Z200US01830,ZCTA5 01830,17.58426604,14.934996,0,37,8,0.7938,0.4483,14.7800069,7.651769215,30.3520559,88.74976285,56.87725289,68.7802136,3.923552558,0.217350571,0,29.7620386,8.510399101,18354,1047,58,0,7942,2271,16,-999,-999,84,43,0.89300001,0.089510001,0.93703997,0.053029999,0.017440001,70,134
5,R_5sBoPbDVLGGucl4,01532,860Z200US01532,ZCTA5 01532,35.61063954,30.48069984,0,14,4,0.1584,0.4469,3.618251928,5.927170868,67.38993428,95.71303587,85.40682415,77.09952848,3.587358226,0.063718619,0,2.293870269,2.637950809,12100,563,10,0,360,414,23,10.40972165,5.390619084,61,35,1.18223,0.10156,0.92272002,0.083810002,0.017440001,34,39
116,R_6f0NGQOyPoOxR0c,12206,860Z200US12206,ZCTA5 12206,25.6427341,16.79868117,0,82,9,0.9591,0.5275,37.76416328,13.74695864,26.1009667,84.62253914,26.05797551,28.95422149,42.33826754,0.294682018,0,14.69983553,5.756578947,4225,6178,43,0,2145,840,20,2.601786872,0.891224895,73,45,0.57726997,0.097769998,0.95462,0.050760001,0.01749,215,353
526,R_7fZQD4Jf65YZHCU,48060,860Z200US48060,ZCTA5 48060,59.07956535,61.69510974,0,94,9,0.8688,0.4719,20.23353355,9.045815777,17.3908212,87.91656677,62.24526492,83.41856109,7.328742849,0.329097261,0,6.128803605,1.3973976,32952,2895,130,0,2421,552,4,-999,-999,66,46,0.67660999,0.10213,0.99032998,0.087930001,0.017519999,115,185
1027,R_6t9W9dvlvurObRd,98584,860Z200US98584,ZCTA5 98584,14.0978617,7.612918745,3,58,10,0.7857,0.4352,15.48074209,6.309885487,21.31504158,92.43436919,77.06883484,75.33469877,0.779298631,2.944849635,0.4321111,14.66679988,8.702168049,30161,312,1179,173,5872,3484,7,26.75898839,18.6086649,44,30,0.74612999,0.10724,0.98778999,0.0726,0.01754,109,55
138,R_338BJaBwbGh1qQv,14548,860Z200US14548,ZCTA5 14548,25.46861003,22.63904994,0,77,9,0.3612,0.4106,10.13347862,1.847679135,16.34615385,92.81170483,77.48091603,90.1488498,0.324763194,0,0,2.733423545,7.253044655,3331,12,0,0,101,268,6,6.521775703,4.353555795,11,9,0.88397002,0.10439,0.93549001,0.11914,0.01774,10,14
454,R_1ZQVzSjNzuSBY7T,42431,860Z200US42431,ZCTA5 42431,51.58406986,48.65647914,0,93,9,0.7193,0.4314,21.22140914,6.72504957,19.59010138,90.73937833,67.84072099,83.46927477,8.555083964,1.339730578,0,3.022697915,0.350618195,22616,2318,363,0,819,95,3,-999,-999,79,54,0.82762998,0.11464,0.99653,0.05525,0.017790001,52,35
719,R_5wLKofpoMG6ifbr,75088,860Z200US75088,ZCTA5 75088,13.58396792,6.404515565,2,46,4,0.4332,0.3831,8.246315634,3.217726397,36.80464703,89.95963673,75.74167508,63.65010321,17.9150693,0.530816868,0.06266588,18.95089944,2.849454438,17267,4860,144,17,5141,773,6,19.36641755,18.24481932,143,87,0.93339998,0.083010003,0.78325999,0.053959999,0.01781,81,64
314,R_65MFKWx6DsVNFgp,31032,860Z200US31032,ZCTA5 31032,-999,-999,0,55,5,0.6188,0.4325,9.818316648,3.23434284,19.48686622,93.54034886,85.2022235,77.75354417,18.43693202,0.10178117,0,1.599418393,0.930570702,10695,2536,14,0,220,128,0,-999,-999,39,29,0.72737002,0.11772,0.99229002,0.047510002,0.017820001,46,36
317,R_5qgj4blxxqm1H3i,31634,860Z200US31634,ZCTA5 31634,-999,-999,0,92,9,0.8659,0.4986,16.6175604,4.464738711,15.19953052,90.67164179,66.25799574,68.25028969,27.34646582,0,0,0.830436462,0.405561993,3534,1416,0,0,43,21,1,-999,-999,23,18,0.44281,0.16393,1,0.12164,0.017820001,69,77
