"ResponseId","mandf_onlineg","mandf_casinog","mandf_cann","mandf_drinks_m","mandf_drinks_f","mandf_drinks_o"
"R_1VQqjr1jMDX4D0t",0,0,0,0,NA,NA
"R_3ASdQREkJCScnFU",0,0,0,0,NA,NA
"R_3ssZNEMQJjTRgrv",0,1,0,NA,0,NA
"R_1CI5WjcD32clL84",0,0,0,NA,0,NA
"R_7N8sYhBOoS80djp",0,0,0,0,NA,NA
"R_70eQ3TMoJEkaFpw",5,3,2,NA,1,NA
"R_1R7tP2droQgUfmO",0,0,0,NA,0,NA
"R_6V2YSWkZewg4Mbr",0,0,0,NA,1,NA
"R_3KjX0VUXmGoF42r",0,0,0,NA,4,NA
"R_6CVBhsrOfyzPwP8",3,0,0,2,NA,NA
"R_7HGkxVvQiH22rAZ",0,0,0,NA,0,NA
"R_5QuOL3HQafCkeba",0,0,10,NA,0,NA
"R_1RwxoXtULUMrphD",0,0,0,NA,0,NA
"R_6YVUnYdOJJIImnE",0,0,0,NA,0,NA
"R_1njHekJDMtWTrP3",1,0,2,0,NA,NA
"R_5gj9wbDcXgY6vUy",0,0,0,0,NA,NA
"R_65YeVxqNrqJAdSa",3,6,4,5,NA,NA
"R_70f3kJjYxEPcEfj",7,1,3,1,NA,NA
"R_6oI4XXTv6BYJ68W",19,8,0,NA,10,NA
"R_6MnFF7Nk4n9fxor",4,0,20,NA,2,NA
"R_5zIpozcCK0Em7Pj",20,0,30,5,NA,NA
"R_72JGymiY2HhXLge",0,0,2,4,NA,NA
"R_5LveHzx1fgprU5K",0,0,0,4,NA,NA
"R_7vNtg3jwCYkxeFP",0,0,0,NA,0,NA
"R_54ICgWblx5Ukwyt",2,0,0,NA,3,NA
"R_3OqJNGKsvNTZs9Y",0,0,0,NA,4,NA
"R_7ez7MriTXjejJC2",6,0,20,NA,0,NA
"R_12X5wmxWTc8qh3Z",10,1,0,2,NA,NA
"R_58I4Q6hfuzXQFOx",23,8,7,NA,7,NA
"R_1yrHLXxiXfBpYWJ",0,0,30,NA,0,NA
"R_7OPVx66hHwwPYOs",0,0,30,2,NA,NA
"R_7XiCVkmVutzQs1O",20,5,10,7,NA,NA
"R_7prIEyfgxpjQhvr",0,0,3,NA,5,NA
"R_10wUwpQmoXdvyO7",0,0,0,NA,15,NA
"R_6rkXrCLgJVt3dDj",16,5,10,20,NA,NA
"R_3BA91EDJt5yeJqO",0,0,0,NA,4,NA
"R_37HTjiEy7eyRlhw",0,0,30,NA,0,NA
"R_1FLkMO3vfrw1uMy",0,0,0,NA,10,NA
"R_5C8ynOQuZHN74qM",20,10,20,10,NA,NA
"R_1IwmMjhBLuoyiCB",0,0,0,NA,0,NA
"R_3eRg4N5LM6CcG2m",0,0,0,NA,1,NA
"R_3A0fWLi30ZPDSVj",4,3,0,NA,2,NA
"R_7oQPi2nKfOL50KB",0,0,0,7,NA,NA
"R_1jiCSCifVR3LAdW",0,0,0,0,NA,NA
"R_5FJlyc0MyLnL958",0,0,20,0,NA,NA
"R_7aIYFnFjpt0UAvv",2,1,1,3,NA,NA
"R_5h0gUw9g6wRMdEg",0,0,0,NA,1,NA
"R_6pBg2X782vUmMdX",0,0,30,NA,0,NA
"R_3gtgjYgYKrJi389",0,0,0,2,NA,NA
"R_1n8GzjSOT8GaTQd",2,3,4,NA,3,NA
"R_1OHG95IozQ4AcJr",8,8,9,4,NA,NA
"R_7usJiKjcEwzZD7h",4,1,6,NA,15,NA
"R_3KljfxutjygJ3AR",17,13,30,NA,21,NA
"R_1pHdMVd3hcQrGy5",0,0,0,NA,0,NA
"R_7QtEnEFa3wAx3zj",0,0,0,NA,0,NA
"R_6DHqxnMKvrVBXwt",0,1,30,2,NA,NA
"R_5ePuhcORGYi2UIb",0,0,0,NA,0,NA
"R_59aWMbuIYpL4Fe0",0,0,0,NA,2,NA
"R_1rxI0dJppoKlOQV",0,0,5,0,NA,NA
"R_1wzYgUpy8FENH76",0,0,2,NA,15,NA
"R_6Sg0CtULnaAoFH3",0,0,3,NA,1,NA
"R_3TIykVe1REHdYQ1",10,0,0,NA,2,NA
"R_7sMwTP3HEqmcbFT",0,0,0,NA,10,NA
"R_5PZqLMxUWGMxcIY",0,0,0,NA,2,NA
"R_5Rr4JPCkcwI0r8n",0,0,0,NA,20,NA
"R_7MlzTKkdXR9Aklr",22,5,2,19,NA,NA
"R_6cUpbnrwRnxakjh",0,0,1,NA,0,NA
"R_7YM6Rf2fdp8KueI",0,0,0,NA,18,NA
"R_5eL8vtV1yB7vh1T",0,0,0,NA,0,NA
"R_5rjShz1zc8hZVYE",2,1,2,NA,1,NA
"R_1OkCwKXdfwK5aqB",0,5,0,4,NA,NA
"R_7mDwOBw7s0qaQtq",6,5,5,4,NA,NA
"R_6dcNHppBA1Mp9Fe",0,0,0,NA,0,NA
"R_3wKU79SyjdyBMnk",5,3,0,2,NA,NA
"R_3qjIhgK5y3nUjpC",0,0,0,NA,1,NA
"R_5MbZihlyeCN4Qh1",10,0,30,NA,15,NA
"R_1qCWv1qlEmbuDLo",3,0,0,0,NA,NA
"R_10UxMDsMVIhnoh9",2,2,0,NA,10,NA
"R_6JiaiHsBq0h426B",15,12,13,15,NA,NA
"R_6CmetbM7zLZMhQa",1,2,0,2,NA,NA
"R_3ob7v6i1y9xUXQB",1,1,4,NA,4,NA
"R_3wjg1sZe0EkZHul",0,1,0,0,NA,NA
"R_3dKEPjLL1Nq6CrH",0,4,0,NA,1,NA
"R_18sf7b999Pv0w7f",3,5,2,5,NA,NA
"R_1YaLMRsxkrfQT9n",0,0,0,NA,0,NA
"R_5aFwsuByz1zLHFV",0,0,0,0,NA,NA
"R_7DO9gDBqtctC2Cb",5,2,10,5,NA,NA
"R_114g6pjuBx5AvQq",2,0,0,NA,0,NA
"R_7CNj430G9Gf6zkM",5,0,2,5,NA,NA
"R_3mUl4hnWkQsOtFp",0,1,0,3,NA,NA
"R_3GIAMSJFo6rQT77",0,2,0,0,NA,NA
"R_7He94ppuZrxRUXv",0,0,0,NA,0,NA
"R_58aQ9Lqu9T1jSbT",0,0,0,NA,0,NA
"R_3CDuwlSLevvpvPd",0,0,0,NA,0,NA
"R_10SgocvjcYGUOop",10,3,0,NA,6,NA
"R_5LgUimIlyauBn44",0,0,0,NA,2,NA
"R_7n1rRn9eyOS2Apu",5,0,10,0,NA,NA
"R_7yoeMH4cTH4yK9r",0,0,2,NA,0,NA
"R_7zDtMIE46cG6gN3",0,0,4,NA,1,NA
"R_5R1HoLDPMo5Qjq8",2,0,0,NA,3,NA
"R_1PHMnWDyU33tkcA",4,3,0,0,NA,NA
"R_7i5kRVat6jVWK6Q",0,0,0,NA,10,NA
"R_1Mm4TUF8lN3RH4h",0,0,0,NA,1,NA
"R_7lcb8GLvIYqVLE0",0,0,1,NA,0,NA
"R_6t9W9dvlvurObRd",0,0,0,NA,0,NA
"R_7F4Kd95yZmIuur2",0,0,0,NA,0,NA
"R_7PBbR4M62NpzphA",0,0,0,0,NA,NA
"R_5PDwTdxYhCMiqKl",0,0,0,0,NA,NA
"R_5TKRnfxPPN6kAyR",0,0,0,0,NA,NA
"R_7jW0xD08RZNhLMd",3,3,2,3,NA,NA
"R_5f3Ove9840ufj43",5,0,0,0,NA,NA
"R_1Yycgl6YkfeDV5f",0,0,0,3,NA,NA
"R_1w0LAI68jz3tHhs",20,10,5,20,NA,NA
"R_7HjeA5NVqNHEn4b",5,5,6,7,NA,NA
"R_1JdYMIXBbFnRhMK",0,0,0,0,NA,NA
"R_17TE3uIaNjj5GAS",0,0,0,0,NA,NA
"R_6Y4aGORvjvLXwT2",0,0,0,5,NA,NA
"R_1g0x63j7ZqA3O2L",20,1,10,5,NA,NA
"R_8tPLj3W5d5J65bj",3,2,7,0,NA,NA
"R_6fvkdtpITkdmssM",5,1,30,2,NA,NA
"R_1nblzQ53UCyyChb",0,0,0,6,NA,NA
"R_5pSBX41VIENVGlb",0,0,0,1,NA,NA
"R_3FHZz1SlTev7QDn",7,0,14,0,NA,NA
"R_7PUHaeEXlSIozB4",6,2,3,7,NA,NA
"R_1OrmfvViIIXPDdr",0,0,2,3,NA,NA
"R_5WJzyXm1bPb1Mqr",0,0,0,10,NA,NA
"R_1mL80iqJBhDtnVr",17,1,0,0,NA,NA
"R_1VcbQ3znfpYryoN",5,5,2,3,NA,NA
"R_73BSGFP020mNMRZ",0,0,0,0,NA,NA
"R_7znMte9Fn0Kw6yq",0,0,0,1,NA,NA
"R_5c6nqaZjkF2vfuj",0,0,0,7,NA,NA
"R_74HSw0iTvD62TuS",8,0,20,15,NA,NA
"R_3H0oNQ7oDr9XRRH",21,6,20,6,NA,NA
"R_6102HTDOsz0J6SJ",0,0,0,0,NA,NA
"R_5vcqYL0BizsO7Qd",15,0,10,15,NA,NA
"R_7dogZ0Oz7azj1Xw",0,0,5,0,NA,NA
"R_3f2DHwfgRS0sAJG",3,0,0,4,NA,NA
"R_71TYMAVazqHNOcV",7,0,25,3,NA,NA
"R_5EHpaPbouwc4Aui",10,5,15,1,NA,NA
"R_169hOny4gr1kra1",0,0,0,NA,0,NA
"R_7DBxEAwbQm3IGaZ",0,0,0,0,NA,NA
"R_72VqWQ64cS9s1eS",0,0,0,0,NA,NA
"R_5qKBbFgLjUv6MvY",0,0,30,8,NA,NA
"R_7S8Yw1ljOZQdAUV",0,0,0,NA,0,NA
"R_1ygyr8RAzKWxizU",0,0,0,NA,4,NA
"R_1zx0Ht0LHoseGoD",5,5,9,NA,9,NA
"R_1EWOAaGRUzstYXe",2,2,2,0,NA,NA
"R_3aCtBWhSdvXdKIv",0,0,0,NA,0,NA
"R_7qaqCc0Dq7AD704",0,0,0,0,NA,NA
"R_5zJj0DBWnq8VaiF",0,0,0,NA,0,NA
"R_7KBKtmqWpZeeFIC",0,0,0,NA,0,NA
"R_7sd776tgHyHsY4x",0,0,30,0,NA,NA
"R_7jd2sk5m4kwCFkh",20,12,6,18,NA,NA
"R_1uw8Em9r995XY3H",0,0,20,NA,0,NA
"R_6PdMi1TwYvawJlW",20,2,16,20,NA,NA
"R_7h6E7YF3YFBnKpD",10,5,10,5,NA,NA
"R_7qHB1hl0ryivssd",10,4,25,1,NA,NA
"R_16aV2o4LR1hMeDb",0,0,0,20,NA,NA
"R_67PcRAXtMP0JUaQ",0,0,0,0,NA,NA
"R_3gCQAlE9kRFCBjz",15,0,0,1,NA,NA
"R_6qwfdFvKxe98zeJ",13,8,30,14,NA,NA
"R_70uDhyahvtsqduM",1,0,0,0,NA,NA
"R_7K2UaEf13kPFlf5",0,0,0,NA,5,NA
